ga	versao	origem	scope
org.springframework:spring-framework-bom	7.0.9	propriedade:spring-framework-bom.version	import
org.springframework.data:spring-data-bom	2026.0.1	propriedade:spring-data-bom.version	import
tools.jackson:jackson-bom	3.2.2	propriedade:jackson-bom.version	import
org.springframework.boot:spring-boot-dependencies	4.1.1	propriedade:spring-boot-dependencies.version	import
org.springframework.cloud:spring-cloud-dependencies	2025.1.2	propriedade:spring-cloud-dependencies.version	import
org.springframework.kafka:spring-kafka-bom	4.1.0	propriedade:spring-kafka-bom.version	import
io.grpc:grpc-bom	1.81.0	propriedade:grpc.version	import
com.google.protobuf:protobuf-java	4.34.2	propriedade:protobuf.version	compile
org.projectlombok:lombok	1.18.46	propriedade:lombok.version	compile
org.mapstruct:mapstruct	1.6.3	propriedade:mapstruct.version	compile
com.google.code.gson:gson	2.14.0	propriedade:gson.version	compile
commons-io:commons-io	2.22.0	propriedade:commons-io.version	compile
org.apache.commons:commons-lang3	3.20.0	propriedade:commons-lang3.version	compile
org.liquibase:liquibase-core	5.0.4	propriedade:liquibase.version	compile
org.postgresql:postgresql	42.7.13	propriedade:postgresql.version	compile
com.mysql:mysql-connector-j	26.7.0	propriedade:mysql-connector-j.version	compile
redis.clients:jedis	8.0.0	propriedade:jedis.version	compile
io.github.openfeign.querydsl:querydsl-jpa	7.6	propriedade:querydsl.version	compile
io.github.openfeign.querydsl:querydsl-apt	7.6	propriedade:querydsl.version	compile
io.github.openfeign.querydsl:querydsl-jpa-spring	7.6	propriedade:querydsl.version	compile
io.hypersistence:hypersistence-utils-hibernate-71	3.15.5	propriedade:hypersistence-utils-hibernate-71.version	compile
org.locationtech.jts:jts-core	1.20.0	propriedade:jts-core.version	compile
org.hibernate.orm:hibernate-spatial	7.4.5.Final	propriedade:hibernate-spatial.version	compile
io.github.openfeign:feign-okhttp	13.14	propriedade:feign-okhttp.version	compile
de.siegmar:logback-gelf	6.1.2	propriedade:logback-gelf.version	compile
org.aspectj:aspectjweaver	1.9.25.1	propriedade:aspectjweaver.version	compile
org.testcontainers:testcontainers-bom	2.0.5	propriedade:testcontainers-bom.version	import
org.junit:junit-bom	6.1.3	propriedade:junit-bom.version	import
org.mockito:mockito-core	5.23.0	propriedade:mockito.version	compile
org.mockito:mockito-junit-jupiter	5.23.0	propriedade:mockito.version	compile
io.rest-assured:spring-mock-mvc	6.0.1	propriedade:spring-mock-mvc.version	compile
org.wiremock:wiremock-standalone	3.13.2	propriedade:wiremock-standalone.version	compile
org.wiremock.integrations:wiremock-spring-boot	4.2.2	propriedade:wiremock-spring-boot.version	compile
org.yaml:snakeyaml	2.6	propriedade:snakeyaml.version	compile
org.bouncycastle:bcprov-jdk18on	1.85.2	propriedade:bcprov-jdk18on.version	compile
org.bouncycastle:bcpkix-jdk18on	1.85	propriedade:bcpkix-jdk18on.version	compile
com.google.guava:guava	33.7.1-jre	propriedade:guava.version	compile
net.javacrumbs.shedlock:shedlock-spring	7.9.0	propriedade:shedlock-spring.version	compile
net.javacrumbs.shedlock:shedlock-provider-jdbc-template	7.9.0	propriedade:shedlock-spring.version	compile
net.logstash.logback:logstash-logback-encoder	9.0	propriedade:logstash-logback-encoder.version	compile
com.github.ulisesbocchio:jasypt-spring-boot-starter	4.0.4	propriedade:jasypt-spring-boot-starter.version	compile
org.reflections:reflections	0.10.2	propriedade:reflections.version	compile
com.github.ben-manes.caffeine:caffeine	3.2.4	propriedade:caffeine.version	compile
