path	blob	bytes	lines	module	kind	last_commit	last_modified	author	commits_90d	tracked
.gitignore	b496189	326	29	_raiz	config	ef419dc	2026-02-13	Samuel Cunha	0	1
CHANGELOG.md	fecf4fd	3267	66	_raiz	doc	1c12934	2026-07-13	Samuel Cunha	1	1
CONTRIBUTING.md	911a20e	3198	65	_raiz	doc	1c12934	2026-07-13	Samuel Cunha	1	1
LICENSE	261eeb9	11357	202	_raiz	nao_classificado	fc11919	2026-02-13	Samuel Gonçalves Cunha	0	1
README.md	76b8e62	10108	258	_raiz	doc	769a572	2026-07-13	Samuel Cunha	1	1
SECURITY.md	0887ad3	1594	42	_raiz	doc	1c12934	2026-07-13	Samuel Cunha	1	1
pom.xml	6fefe06	31564	710	_raiz	build	02477f6	2026-09-06	Samuel Cunha	26	1
renovate.json	cf28ca6	1164	45	_raiz	nao_classificado	1c12934	2026-07-13	Samuel Cunha	1	1
.github/CODEOWNERS	aeeb8be	5799	81	_raiz	nao_classificado	ef419dc	2026-02-13	Samuel Cunha	0	1
.github/pull_request_template.md	488e352	652	34	_raiz	doc	1679ac0	2026-06-13	Samuel Cunha	1	1
.github/actions/setup-gpg/action.yml	df1a305	1809	46	_raiz	config	6bf1c15	2026-07-13	Samuel Cunha	2	1
.github/workflows/build.yml	4e9b4d0	1332	43	_raiz	config	f3dd0ba	2026-07-13	Samuel Cunha	2	1
.github/workflows/manual-release.yml	16735c4	2225	79	_raiz	config	1679ac0	2026-06-13	Samuel Cunha	1	1
.github/workflows/publish-snapshot.yml	128a13e	1755	56	_raiz	config	1679ac0	2026-06-13	Samuel Cunha	1	1
.github/workflows/release-notes.yml	fa353ae	1054	40	_raiz	config	1679ac0	2026-06-13	Samuel Cunha	1	1
.github/workflows/validate-pr-target.yml	7caf5bb	571	24	_raiz	config	1679ac0	2026-06-13	Samuel Cunha	1	1
.github/workflows/validate-pr-template.yml	d04147f	853	27	_raiz	config	1679ac0	2026-06-13	Samuel Cunha	1	1
etc/dependency-check/suppressions.xml	8f977d7	725	15	_raiz	config	909076b	2026-07-13	Samuel Cunha	1	1
scripts/close_version.sh	7323b28	652	23	_raiz	codigo	f3dd0ba	2026-07-13	Samuel Cunha	2	1
scripts/deploy.sh	a940170	845	29	_raiz	codigo	f3dd0ba	2026-07-13	Samuel Cunha	2	1
scripts/release.sh	19cd137	6546	213	_raiz	codigo	f3dd0ba	2026-07-13	Samuel Cunha	2	1
scripts/starts_new_version.sh	997c757	1684	81	_raiz	codigo	f3dd0ba	2026-07-13	Samuel Cunha	2	1
scripts/validate-pr-target.sh	de7c338	1979	87	_raiz	codigo	f3dd0ba	2026-07-13	Samuel Cunha	2	1
scripts/validate-pr-template.sh	42e6635	2312	92	_raiz	codigo	f3dd0ba	2026-07-13	Samuel Cunha	2	1
